treatment,inoculum,Plant,Sample Id,Operator,Analysis Date Time,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm),ProjArea(cm2),ProjAreaTen(cm2)/RatioLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,NLinksIL,NLinksEE,NLinksEEL,NLinksEI,NLinksII,LengthLinksIL,LengthLinksEE,LengthLinksEEL,LengthLinksEI,LengthLinksII,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,LeafArea,...53,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings/Seedling#,NumberOfClasses,ClassBoundaries,LenTotHistoClasses,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,SATotHistoClasses,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,PATotHistoClasses,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,VolTotHistoClasses,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000,GrpName...118,Background,GrpName...120,Root,GrpName...122,NotUsed
NT,NI,1,NI_NT1,Davide,18/04/2024 10:45:28,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-137,Smooth Off Area Off LWRatio Off,Off,0.006,2621.4726,0,89.5203,0,281.2362,0,0.3415,0,436912.1069,0,2.401,0,0,10385,13282,2674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,2620.8198,2305.1004,235.9958,32.1041,15.6394,10.3456,8.1229,2.1925,0.1314,0.2445,10.9431,256.7843,149.0035,48.0649,12.2515,8.5433,7.2024,6.8488,2.1603,0.1607,0.3209,22.2281,81.737,47.4293,15.2995,3.8998,2.7194,2.2926,2.18,0.6876,0.0511,0.1021,7.0754,7.3216,1.0005,0.8066,0.3768,0.3743,0.4009,0.4607,0.1696,0.0157,0.0335,3.683,10285,80,11,2,0,0,3,0,1,3,NA,NA,NA,NA,NA,NA
NT,NI,2,NI_NT2,Davide,18/04/2024 11:05:55,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,0.006,3321.3667,0,91.0119,0,285.9222,0,0.274,0,553561.1182,0,1.959,0,0,19046,21019,4529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,3320.2799,3049.261,201.3558,44.0381,5.2972,0.8621,0.5126,1.2382,2.1761,2.862,12.6769,258.571,164.1743,42.2423,16.5043,2.7643,0.6125,0.4418,1.3086,2.6218,3.8769,24.0244,82.3057,52.2583,13.4461,5.2535,0.8799,0.195,0.1406,0.4165,0.8345,1.2341,7.6472,6.8402,0.9939,0.7332,0.4995,0.1156,0.0348,0.0303,0.1103,0.2517,0.4185,3.6524,18902,122,14,1,1,1,1,0,0,3,NA,NA,NA,NA,NA,NA
NT,NI,3,NI_NT3,Davide,18/04/2024 11:15:31,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,0.006,1453.6453,0,35.3799,0,111.1492,0,0.2434,0,242274.2135,0,0.676,0,0,14200,9281,1797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,1452.8264,1333.9888,79.7444,14.7073,6.4511,1.0561,1.1754,5.2951,8.992,1.394,0.0222,101.5177,56.4079,16.0861,5.691,3.4566,0.7703,1.0254,5.5626,10.6808,1.8054,0.0316,32.3141,17.9552,5.1204,1.8115,1.1003,0.2452,0.3264,1.7706,3.3998,0.5747,0.0101,2.6683,0.2926,0.2673,0.1774,0.1484,0.045,0.0714,0.4656,1.011,0.1862,0.0036,14116,62,12,0,2,1,1,4,2,0,NA,NA,NA,NA,NA,NA
NT,NI,4,NI_NT4,Davide,18/04/2024 11:37:53,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,0.006,4928.4484,0,124.0404,0,389.6844,0,0.2517,0,821408.0598,0,2.452,0,0,23928,37628,9037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,4926.7816,4624.3073,246.2027,33.3161,7.7151,0.875,0.7045,2.0805,1.0728,0.4559,10.0518,347.3782,253.1631,49.6949,12.7614,4.0652,0.6105,0.6438,2.1246,1.2575,0.598,22.4592,110.5739,80.5843,15.8184,4.0621,1.294,0.1943,0.2049,0.6763,0.4003,0.1904,7.149,7.3739,1.534,0.8281,0.3944,0.1714,0.0339,0.0469,0.1731,0.1174,0.0625,4.0121,23779,133,12,1,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA
NT,NI,5,NI_NT5,Davide,18/04/2024 13:16:37,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,0.006,2527.2398,0,68.746,0,215.9719,0,0.272,0,421206.6338,0,1.469,0,0,27115,16204,2707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,2525.3766,2376.4281,89.7734,17.1563,5.404,8.7263,3.1124,1.5573,1.7674,8.7789,12.6725,191.9582,118.4336,18.1183,6.4162,2.7756,6.1756,2.6901,1.5697,2.0668,11.7791,21.9332,61.1022,37.6986,5.7672,2.0423,0.8835,1.9658,0.8563,0.4997,0.6579,3.7494,6.9816,6.6861,0.6847,0.302,0.1934,0.1139,0.3488,0.1859,0.1262,0.1926,1.2594,3.2793,27021,72,9,4,4,3,0,0,1,1,NA,NA,NA,NA,NA,NA
NT,NI,6,NI_NT6,Davide,18/04/2024 13:28:37,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,0.006,2974.6118,0,80.0287,0,251.4176,0,0.269,0,495768.626,0,1.691,0,0,25666,19034,3651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,2973.5719,2728.7653,187.0049,20.7146,12.4417,2.9363,1.6786,0.2484,3.1244,2.2732,14.3845,224.3937,134.4645,38.4776,8.0006,6.6042,2.0853,1.4124,0.2438,3.6875,3.1085,26.3093,71.4267,42.8014,12.2478,2.5467,2.1022,0.6638,0.4496,0.0776,1.1738,0.9895,8.3745,6.7277,0.7575,0.6508,0.2496,0.2807,0.1184,0.0947,0.0191,0.347,0.3385,3.8714,25538,107,15,4,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA
NT,NI,7,NI_NT7,Davide,18/04/2024 13:41:26,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-142,Smooth Off Area Off LWRatio Off,Off,0.006,3154.6907,0,62.9082,0,197.6318,0,0.1994,0,525781.7792,0,0.985,0,0,27305,16735,4044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,3153.5941,3043.5928,89.6252,7.581,1.1417,0.5527,0.0265,0.5635,0.6164,0.7029,9.1913,175.1125,134.6022,18.6473,2.6856,0.5905,0.3743,0.026,0.595,0.7128,0.9563,15.9225,55.74,42.8452,5.9356,0.8549,0.188,0.1191,0.0083,0.1894,0.2269,0.3044,5.0683,3.5545,0.6907,0.3203,0.0766,0.0244,0.0202,0.002,0.05,0.0656,0.1037,2.201,27228,65,10,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
NT,NI,8,NI_NT8,Davide,18/04/2024 13:54:54,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,0.006,2990.9912,0,82.1952,0,258.2239,0,0.2748,0,498498.5321,0,1.774,0,0,22913,18463,3755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,2990.0114,2742.5982,172.0561,36.1131,12.5094,5.9071,5.9241,2.7119,0.5726,0.0476,11.5714,234.3356,136.8778,36.411,14.0343,6.7234,4.1909,4.9515,2.7498,0.6542,0.0627,27.68,74.5913,43.5696,11.59,4.4673,2.1401,1.334,1.5761,0.8753,0.2082,0.02,8.8108,8.3129,0.7659,0.6351,0.4397,0.2899,0.238,0.3301,0.2224,0.0595,0.0066,5.3256,22818,79,7,3,2,0,0,0,0,4,NA,NA,NA,NA,NA,NA
NT,NI,9,NI_NT9,Davide,18/04/2024 14:08:42,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,0.006,3130.556,0,76.9129,0,241.629,0,0.2457,0,521759.3305,0,1.484,0,0,28998,20784,4167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,3128.9743,2974.9156,117.2542,6.9887,1.0595,1.2027,0.9793,1.2733,0.3338,2.7818,22.1853,219.7841,142.8104,23.5985,2.5781,0.5511,0.8082,0.8596,1.3172,0.387,3.6046,43.2695,69.9595,45.458,7.5116,0.8206,0.1754,0.2572,0.2736,0.4193,0.1232,1.1474,13.7731,8.7162,0.792,0.3899,0.0766,0.0229,0.0433,0.0602,0.1087,0.0357,0.3717,6.8152,28894,86,10,1,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA
NT,NI,10,NI_NT10,Davide,18/04/2024 14:21:45,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,0.006,2095.7589,0,58.8503,0,184.8838,0,0.2808,0,349293.1465,0,1.298,0,0,16348,8632,1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,2095.266,1967.1176,55.0287,18.3853,24.7381,11.4792,3.935,2.5758,2.0162,9.4247,0.5653,166.5241,104.5584,11.4318,7.4313,13.4931,8.0989,3.3343,2.5858,2.3956,12.3623,0.8327,53.0063,33.282,3.6389,2.3654,4.295,2.578,1.0613,0.8231,0.7625,3.935,0.265,4.1278,0.5949,0.1967,0.2418,0.5894,0.4567,0.2251,0.207,0.2269,1.2916,0.0977,16294,37,5,6,3,1,0,1,0,1,NA,NA,NA,NA,NA,NA
NT,NI,11,NI_NT11,Davide,18/04/2024 14:40:44,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-135,Smooth Off Area Off LWRatio Off,Off,0.006,3763.0479,0,127.0742,0,399.2154,0,0.3377,0,627174.6453,0,3.37,0,0,33129,36292,6016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,3760.8938,3302.8903,311.4483,66.7092,36.5095,9.0742,2.146,0.6387,2.081,3.1153,26.2813,358.3547,182.4857,65.0865,25.1188,19.4158,6.1956,1.7712,0.6692,2.5041,4.2295,50.8783,114.0678,58.087,20.7177,7.9956,6.1802,1.9721,0.5638,0.213,0.7971,1.3463,16.1951,13.0695,1.1604,1.1246,0.762,0.8264,0.3379,0.1166,0.0558,0.2399,0.4576,7.9883,32798,270,38,9,4,1,0,0,1,8,NA,NA,NA,NA,NA,NA
NT,NI,12,NI_NT12,Davide,18/04/2024 14:53:43,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-137,Smooth Off Area Off LWRatio Off,Off,0.006,3013.4435,0,89.8334,0,282.22,0,0.2981,0,502240.5859,0,2.103,0,0,33982,17289,2877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,3011.9146,2721.7899,196.9038,49.0468,14.9641,9.2481,3.6208,0.5953,0.1057,0.6482,14.992,260.1631,144.975,42.1582,18.1043,8.0198,6.4942,3.0726,0.6119,0.1225,0.8686,35.7362,82.8125,46.147,13.4194,5.7628,2.5528,2.0672,0.978,0.1948,0.039,0.2765,11.3752,10.0657,0.8735,0.747,0.5381,0.3441,0.3642,0.2082,0.0502,0.0113,0.0927,6.8364,33788,156,17,6,5,0,1,0,1,8,NA,NA,NA,NA,NA,NA
NT,NI,13,NI_NT13,Davide,18/04/2024 15:03:25,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,0.006,2918.4503,0,67.7719,0,212.9118,0,0.2322,0,486408.3819,0,1.236,0,0,35990,18140,3553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,2916.9521,2765.0201,125.8355,10.651,2.4805,1.9515,0.1969,0.0137,0,0.1107,10.6922,188.7385,136.4165,25.635,3.9112,1.3311,1.4603,0.1637,0.0137,0,0.145,19.662,60.0773,43.4227,8.1599,1.245,0.4237,0.4648,0.0521,0.0044,0,0.0462,6.2586,4.4176,0.7793,0.4295,0.1156,0.0572,0.0872,0.0108,0.0011,0,0.0151,2.9218,35861,118,6,1,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA
NT,NI,14,NI_NT14,Davide,18/04/2024 15:24:10,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,0.006,4668.6708,0,103.6855,0,325.7376,0,0.2221,0,778111.7992,0,1.809,0,0,40793,40008,9838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,4666.2922,4409.0074,215.9672,16.1183,4.9662,3.2496,2.3482,1.1094,0.3947,0.7205,12.4105,288.5398,201.7872,43.5181,6.0387,2.651,2.354,2.0086,1.1299,0.4498,0.9569,27.6455,91.8451,64.2309,13.8522,1.9222,0.8438,0.7493,0.6394,0.3597,0.1432,0.3046,8.7998,7.6638,1.0856,0.7195,0.1829,0.1134,0.1363,0.1371,0.0918,0.0409,0.1011,5.0552,40699,76,9,3,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA
NT,NI,15,NI_NT15,Davide,18/04/2024 15:37:20,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-143,Smooth Off Area Off LWRatio Off,Off,0.006,2956.7138,0,65.7667,0,206.612,0,0.2224,0,492785.6276,0,1.149,0,0,33509,14206,2825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,2955.8997,2845.7076,67.4019,10.6406,7.1859,6.6927,3.3019,0.6126,3.9707,3.0006,7.3851,182.2385,132.0764,13.6979,4.0153,3.7368,4.6769,2.7675,0.6203,4.8192,3.9882,11.8398,58.0083,42.0412,4.3602,1.2781,1.1895,1.4887,0.8809,0.1975,1.534,1.2695,3.7687,4.0948,0.6867,0.2297,0.1224,0.1554,0.2608,0.1849,0.0501,0.4658,0.4224,1.5165,33426,73,2,0,0,0,1,1,0,6,NA,NA,NA,NA,NA,NA
NT,NI,16,NI_NT16,Davide,18/04/2024 15:48:36,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,0.006,2572.7632,0,76.7604,0,241.1498,0,0.2984,0,428793.8692,0,1.799,0,0,27093,14391,2804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,2572.0715,2351.6598,140.6324,42.9175,4.2637,2.4435,4.1223,3.9032,4.9224,0.2519,16.9548,218.5785,123.5046,30.1657,15.7388,2.2654,1.695,3.6519,3.8826,5.634,0.3235,31.7172,69.5757,39.3127,9.6021,5.0098,0.7211,0.5395,1.1624,1.2359,1.7933,0.103,10.0959,7.8139,0.7229,0.5358,0.4641,0.0965,0.094,0.2578,0.3081,0.5138,0.0331,4.7877,26975,91,10,6,2,1,1,0,0,7,NA,NA,NA,NA,NA,NA
NT,NI,17,NI_NT17,Davide,18/04/2024 15:58:43,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952,1084.6074,27.8928,38.8848,0 0 6592 9190  0,MAG ANG DIAM LEN,Grey Intr cm 0.004231 0.004231,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,0.006,2083.8923,0,47.3107,0,148.631,0,0.227,0,347315.3782,0,0.844,0,0,27472,11690,2064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,2082.9854,1979.3818,73.0605,3.239,6.1445,2.4497,2.2579,5.0169,1.9966,3.1371000000000002,6.3013,131.4587,87.8599,14.334,1.1882,3.1902,1.7178,1.9043,5.1671,2.3995,4.193,9.5048,41.8446,27.9667,4.5627,0.3782,1.0155,0.5468,0.6061,1.6447,0.7638,1.3347,3.0255,3.3366,0.4695,0.2314,0.0351,0.1323,0.0962,0.1281,0.4242,0.2297,0.4467,1.1433,27373,84,3,4,2,2,1,1,2,0,NA,NA,NA,NA,NA,NA
