"","plant","inoculum","treatment","length","avgDiam","rootVolume","FRL","CRL","FRS","CRS","FVOL","lenPerVol"
"1","NI_NT1","NI","NT",2621.4726,0.3415,2.401,5194.0201,36.3004,466.1042,24.7548,10379.683,2.81576004296455
"2","NI_NT10","NI","NT",2095.7589,0.2808,1.298,4135.7976,42.7281,289.9456,27.5121,16336.0977,2.25108367346939
"3","NI_NT11","NI","NT",3763.0479,0.3377,3.37,7441.9416,48.3684,631.0457,28.0518,33113.9883,4.04194189044039
"4","NI_NT12","NI","NT",3013.4435,0.2981,2.103,5979.6551,28.4283,465.4006,18.1985,33967.8364,3.23678141783029
"5","NI_NT13","NI","NT",2918.4503,0.2322,1.236,5818.4587,4.6426,354.7012,2.9688,35987.9218,3.13474790547798
"6","NI_NT14","NI","NT",4668.6708,0.2221,1.809,9307.3851,11.6734,539.8838,8.1435,40789.0552,5.01468399570354
"7","NI_NT15","NI","NT",2956.7138,0.2224,1.149,5879.6498,17.7931,332.0281,11.8015,33502.5165,3.17584726100967
"8","NI_NT16","NI","NT",2572.7632,0.2984,1.799,5107.2812,14.7327,387.9876,11.4949,27080.7877,2.76344060150376
"9","NI_NT17","NI","NT",2083.8923,0.227,0.844,4138.6667,15.869,234.8408,11.9794,27461.1433,2.23833759398496
"10","NI_NT18","NI","NT",2732.2371,0.282,1.707,5421.2099,11.497,379.7298,7.9564,24350.7769,2.93473372717508
"11","NI_NT19","NI","NT",3966.7263,0.2462,1.888,7886.3228,23.991,492.0083,15.7818,35772.2815,4.2607156820623
"12","NI_NT2","NI","NT",3321.3667,0.274,1.959,6614.9348,7.9101,481.4919,5.1272,19041.6524,3.56752599355532
"13","NI_NT20","NI","NT",3808.0194,0.2834,2.403,7575.6496,18.2638,548.147,13.0985,31304.188,4.09024640171858
"14","NI_NT21","NI","NT",2256.7792,0.2615,1.212,4488.7917,10.0188,295.7571,7.3072,24062.7171,2.42403780880773
"15","NI_NT22","NI","NT",2965.2235,0.2734,1.741,5896.7496,10.9085,420.0752,7.8889,28808.7555,3.18498764769066
"16","NI_NT23","NI","NT",1824.5726,0.2249,0.725,3634.8593,1.7169,206.2681,1.2801,29509.4256,1.95979871106337
"17","NI_NT24","NI","NT",2121.7177,0.2307,0.887,4225.2988,3.8221,255.7152,2.6923,14806.0865,2.27896638023631
"18","NI_NT25","NI","NT",3968.3391,0.2378,1.763,7906.8067,10.8566,497.7152,6.5292,26842.3148,4.26244801288937
"19","NI_NT3","NI","NT",1453.6453,0.2434,0.676,2881.2669,13.9777,179.7027,10.8149,14190.0036,1.56138055853921
"20","NI_NT4","NI","NT",4928.4484,0.2517,2.452,9830.6077,11.3751,662.9976,7.4441,23928.0121,5.29371471535983
"21","NI_NT5","NI","NT",2527.2398,0.272,1.469,5008.7344,18.8,334.9263,13.211,27105.2793,2.7145432867884
"22","NI_NT6","NI","NT",2974.6118,0.269,1.691,5910.0567,17.305,405.3364,10.3457,25663.8714,3.19507175080559
"23","NI_NT7","NI","NT",3154.6907,0.1994,0.985,6294.3931,2.2844,331.0476,1.5858,27305.201,3.3884969924812
"24","NI_NT8","NI","NT",2990.9912,0.2748,1.774,5940.7788,27.0525,421.6587,18.6156,22909.3256,3.21266509129968
"25","NI_NT9","NI","NT",3130.556,0.2457,1.484,6228.1328,4.5148,388.7711,3.5361,28996.8152,3.36257357679914
"26","NI_T1","NI","T",1088.0749,0.4382,1.641,2138.3635,12.5472,223.3416,9.4374,4454.8852,1.16871632653061
"27","NI_T10","NI","T",1175.4557,0.3011,0.837,2329.8743,8.4974,174.7574,6.3459,6652.9636,1.26257325456498
"28","NI_T11","NI","T",1036.2873,0.3936,1.261,2028.8447,24.5664,194.5689,16.6923,4869.4926,1.11309054779807
"29","NI_T12","NI","T",813.5053,0.4268,1.164,1607.3654,8.5742,172.1355,6.0901,1994.9481,0.87379731471536
"30","NI_T13","NI","T",3008.1671,0.2985,2.105,5975.4029,23.3056,455.5218,15.6307,11027.3575,3.23111396348013
"31","NI_T14","NI","T",915.2623,0.3835,1.057,1809.6242,4.7784,174.2758,3.2923,2676.8038,0.983095918367347
"32","NI_T15","NI","T",1837.3774,0.3337,1.607,3640.8235,13.1247,296.4153,8.7087,8418.598,1.97355252416756
"33","NI_T16","NI","T",1201.543,0.4116,1.599,2375.8376,10.5161,244.6656,8.208,4070.4321,1.29059398496241
"34","NI_T17","NI","T",810.924,0.3444,0.755,1602.7215,6.8777,126.4176,4.1861,4728.8082,0.87102470461869
"35","NI_T18","NI","T",954.7692,0.3955,1.173,1881.838,10.3887,179.9161,7.7531,2945.2393,1.02553082706767
"36","NI_T19","NI","T",1096.0052,0.4269,1.568,2154.9049,24.3501,226.0591,17.4669,3264.3685,1.17723437164339
"37","NI_T2","NI","T",1834.5633,0.3215,1.49,3660.4726,8.3724,337.6501,4.6737,4153,1.9705298603652
"38","NI_T20","NI","T",871.1567,0.4431,1.343,1717.1489,8.6203,187.201,5.6578,2341.232,0.935721482277121
"39","NI_T21","NI","T",862.6008,0.5667,2.176,1690.5055,12.8916,222.6499,8.9064,1824.0174,0.926531471535983
"40","NI_T22","NI","T",2496.3273,0.2982,1.744,4948.285,16.7271,361.8855,13.6812,12467.9341,2.68133974221267
"41","NI_T23","NI","T",1125.6331,0.3923,1.36,2223.0796,7.0772,208.4675,4.36,4168.4293,1.20905810955961
"42","NI_T24","NI","T",1047.2724,0.399,1.309,2055.8867,19.8912,194.9499,13.0485,4043.439,1.12488979591837
"43","NI_T25","NI","T",1512.3025,0.391,1.816,2991.847,16.675,295.4958,10.2455,3694.455,1.6243850698174
"44","NI_T3","NI","T",1081.7297,0.4142,1.458,2123.671,38.4984,231.147,26.0892,2267.1308,1.16190085929109
"45","NI_T4","NI","T",766.162,0.3224,0.625,1518.0473,7.1831,125.9983,5.892,2547.0284,0.822945220193341
"46","NI_T5","NI","T",1757.7301,0.279,1.075,3508.6841,3.2944,266.6093,2.1108,10496.0232,1.8880022556391
"47","NI_T6","NI","T",2674.1611,0.2552,1.367,5339.0144,8.0526,375.5369,4.6958,9688,2.87235349087003
"48","NI_T7","NI","T",2115.9191,0.2054,0.701,4221.9166,8.9629,231.1135,5.1366,12996,2.27273802363051
"49","NI_T8","NI","T",1147.9296,0.444,1.777,2258.491,19.4442,251.0992,13.0068,1993.4275,1.23300708915145
"50","NI_T9","NI","T",1428.5377,0.2979,0.995,2840.0343,6.7801,221.0667,5.0154,5504.3613,1.53441213748657
"51","PC_NT1","PC","NT",3743.0511,0.3081,2.791,7446.1609,19.3491,599.483,12.5382,19287.7998,4.02046305048335
"52","PC_NT10","PC","NT",1528.9751,0.343,1.413,3014.7033,12.4059,255.366,9.7728,6159.8439,1.64229334049409
"53","PC_NT11","PC","NT",1683.3758,0.3366,1.498,3337.2345,9.791,280.7876,7.9582,9666.8898,1.80813727175081
"54","PC_NT12","PC","NT",3588.8986,0.3736,3.934,7121.0828,30.6238,683.6634,20.0147,13757.5661,3.85488571428571
"55","PC_NT13","PC","NT",2342.8005,0.2698,1.34,4658.4419,8.4017,319.3352,5.1631,12506.571,2.51643447905478
"56","PC_NT14","PC","NT",1456.0133,0.3417,1.335,2876.0579,20.1978,239.5417,12.3383,5928.1374,1.56392406015038
"57","PC_NT15","PC","NT",1280.6365,0.2938,0.868,2536.1306,5.8948,178.6413,4.2169,7211.5791,1.37554940923738
"58","PC_NT16","PC","NT",2358.2406,0.3067,1.742,4672.4727,27.4581,363.4927,17.4769,14840.2313,2.53301890440387
"59","PC_NT17","PC","NT",2253.1471,0.2704,1.294,4481.5636,3.4219,294.4715,2.38,16145.9282,2.42013651987111
"60","PC_NT18","PC","NT",2543.1057,0.2662,1.416,5056.1492,11.6166,349.0104,7.582,13144.0355,2.7315850698174
"61","PC_NT19","PC","NT",2358.0708,0.2995,1.661,4683.087,8.6536,343.5177,6.786,18402.8682,2.53283651987111
"62","PC_NT2","PC","NT",2800.9595,0.3136,2.164,5568.9656,13.3341,448.8151,9.278,14300.0417,3.00854940923738
"63","PC_NT20","PC","NT",821.0859,0.3159,0.644,1609.0952,31.5357,124.4499,22.8313,8195.0067,0.881939742212675
"64","PC_NT21","PC","NT",4296.9994,0.331,3.697,8487.6479,76.8482,684.1601,51.9114,33325.1391,4.61546659505908
"65","PC_NT22","PC","NT",893.6309,0.4584,1.475,1767.4569,5.8155,196.0284,3.9965,4538.5785,0.959861331901182
"66","PC_NT23","PC","NT",1356.8993,0.3171,1.072,2690.5659,7.5907,212.2904,4.5033,9576.5455,1.45746433941998
"67","PC_NT24","PC","NT",2489.6863,0.2881,1.623,4933.7116,30.4244,361.9808,18.8016,11944.7293,2.67420655209452
"68","PC_NT25","PC","NT",2192.8059,0.2818,1.368,4356.1295,8.5103,305.3179,6.6927,19617.0537,2.35532320085929
"69","PC_NT3","PC","NT",2913.1168,0.3486,2.781,5774.1275,35.5966,509.6855,24.3401,12409.3251,3.12901911922664
"70","PC_NT4","PC","NT",2322.9519,0.3179,1.843,4621.5053,10.5385,379.1629,7.2152,14184.7631,2.49511482277121
"71","PC_NT5","PC","NT",2440.6605,0.3442,2.271,4844.0786,16.4491,430.6666,10.067,9856.0693,2.62154726100967
"72","PC_NT6","PC","NT",3101.1082,0.3019,2.22,6168.6844,17.8568,490.5767,11.6061,11441.0074,3.3309432867884
"73","PC_NT7","PC","NT",3095.7533,0.2642,1.697,6161.6515,3.9104,413.8306,2.617,20861.2664,3.32519151450054
"74","PC_NT8","PC","NT",1843.1363,0.3803,2.094,3638.8449,27.6234,345.6605,17.9555,8485.6827,1.97973823845328
"75","PC_NT9","PC","NT",2321.6962,0.3534,2.278,4615.9972,9.6869,424.8967,6.1671,11266.7375,2.49376605800215
"76","PC_T1","PC","T",1590.9758,0.3159,1.247,3154.6926,14.7454,256.7346,9.8446,4117.3967,1.70888915145005
"77","PC_T10","PC","T",1091.807,0.3934,1.327,2158.2056,5.6557,205.1463,4.0687,8981.1019,1.17272502685285
"78","PC_T11","PC","T",1083.7193,0.3752,1.198,2139.5944,13.3264,202.9884,8.9014,8035.9146,1.16403791621912
"79","PC_T12","PC","T",746.9728,0.337,0.666,1474.6444,4.8772,122.6448,3.2453,3379.0758,0.802333834586466
"80","PC_T13","PC","T",2015.4122,0.2623,1.089,4007.4931,8.8407,276.2799,7.248,11356.2206,2.16478216970999
"81","PC_T14","PC","T",2264.8289,0.26,1.203,4510.2324,5.762,311.3068,3.6423,18116.698,2.43268410311493
"82","PC_T15","PC","T",1673.8617,0.2787,1.021,3325.9496,4.1725,235.3596,3.2336,13273.5553,1.79791804511278
"83","PC_T16","PC","T",2922.5227,0.2336,1.252,5827.1011,3.5022,359.6509,2.0724,18513.7453,3.13912212674544
"84","PC_T17","PC","T",2012.1272,0.2992,1.415,3986.9866,20.455,303.4927,11.8391,12736.8043,2.1612537056928
"85","PC_T18","PC","T",885.683,0.4289,1.28,1744.6777,13.2067,179.7955,8.2181,4578.6884,0.951324382384533
"86","PC_T19","PC","T",3073.5414,0.3084,2.295,6118.0435,13.23,494.7053,8.9431,22989.7902,3.30133340494092
"87","PC_T2","PC","T",1607.9981,0.2643,0.882,3188.6596,14.0908,206.4053,10.3806,9273.0116,1.72717303974221
"88","PC_T20","PC","T",4337.6916,0.2664,2.418,8623.4715,25.8171,592.4652,19.2248,37769.3273,4.659174650913
"89","PC_T21","PC","T",2781.3881,0.3026,2,5507.4819,35.114,427.5914,22.7446,22648.7832,2.98752749731472
"90","PC_T22","PC","T",2806.6289,0.3724,3.056,5547.356,36.7631,533.4074,21.5338,21092.0409,3.01463899033298
"91","PC_T23","PC","T",3219.9856,0.2506,1.588,6412.4271,11.4723,404.4263,7.368,25861.6199,3.45863114930183
"92","PC_T24","PC","T",3343.199,0.2414,1.53,6653.8137,12.174,413.3184,8.7052,32250.4878,3.59097636949517
"93","PC_T25","PC","T",2034.0672,0.375,2.246,4028.3708,14.3115,379.7726,10.4573,13932.6323,2.18481976369495
"94","PC_T3","PC","T",1684.8336,0.3434,1.56,3326.0904,21.8128,278.3028,13.5358,9519.0114,1.80970311493018
"95","PC_T4","PC","T",1151.234,0.3086,0.861,2280.5893,7.6727,171.7789,6.3641,6417.9819,1.23655639097744
"96","PC_T5","PC","T",1894.276,0.2717,1.099,3765.8577,6.0854,258.7021,4.0783,11925.9923,2.03466809881848
"97","PC_T6","PC","T",1786.8569,0.2558,0.918,3553.3518,5.141,229.4655,3.359,14221.2406,1.91928775510204
"98","PC_T7","PC","T",3745.0966,0.2502,1.841,7454.5036,17.5731,482.4104,11.1723,24636.4395,4.02266015037594
"99","PC_T8","PC","T",2061.1205,0.3023,1.48,4088.8745,5.2224,302.4758,3.2328,12719.5671,2.21387808807734
"100","PC_T9","PC","T",631.9176,0.4595,1.048,1243.445,15.7192,148.7548,10.8901,3605.3335,0.678751450053706
