"","treatment","inoculum","sample_Id","plant","length","avgDiam","rootVolume","lenPerVol","FRL","CRL","FRS","CRS","FVOL"
"1","NT","NI",1,"NI_NT1",2621.4726,0.3415,2.401,436912.1069,5194.0201,36.3004,466.1042,24.7548,10379.683
"2","NT","NI",2,"NI_NT2",3321.3667,0.274,1.959,553561.1182,6614.9348,7.9101,481.4919,5.1272,19041.6524
"3","NT","NI",3,"NI_NT3",1453.6453,0.2434,0.676,242274.2135,2881.2669,13.9777,179.7027,10.8149,14190.0036
"4","NT","NI",4,"NI_NT4",4928.4484,0.2517,2.452,821408.0598,9830.6077,11.3751,662.9976,7.4441,23928.0121
"5","NT","NI",5,"NI_NT5",2527.2398,0.272,1.469,421206.6338,5008.7344,18.8,334.9263,13.211,27105.2793
"6","NT","NI",6,"NI_NT6",2974.6118,0.269,1.691,495768.626,5910.0567,17.305,405.3364,10.3457,25663.8714
"7","NT","NI",7,"NI_NT7",3154.6907,0.1994,0.985,525781.7792,6294.3931,2.2844,331.0476,1.5858,27305.201
"8","NT","NI",8,"NI_NT8",2990.9912,0.2748,1.774,498498.5321,5940.7788,27.0525,421.6587,18.6156,22909.3256
"9","NT","NI",9,"NI_NT9",3130.556,0.2457,1.484,521759.3305,6228.1328,4.5148,388.7711,3.5361,28996.8152
"10","NT","NI",10,"NI_NT10",2095.7589,0.2808,1.298,349293.1465,4135.7976,42.7281,289.9456,27.5121,16336.0977
"11","NT","NI",11,"NI_NT11",3763.0479,0.3377,3.37,627174.6453,7441.9416,48.3684,631.0457,28.0518,33113.9883
"12","NT","NI",12,"NI_NT12",3013.4435,0.2981,2.103,502240.5859,5979.6551,28.4283,465.4006,18.1985,33967.8364
"13","NT","NI",13,"NI_NT13",2918.4503,0.2322,1.236,486408.3819,5818.4587,4.6426,354.7012,2.9688,35987.9218
"14","NT","NI",14,"NI_NT14",4668.6708,0.2221,1.809,778111.7992,9307.3851,11.6734,539.8838,8.1435,40789.0552
"15","NT","NI",15,"NI_NT15",2956.7138,0.2224,1.149,492785.6276,5879.6498,17.7931,332.0281,11.8015,33502.5165
"16","NT","NI",16,"NI_NT16",2572.7632,0.2984,1.799,428793.8692,5107.2812,14.7327,387.9876,11.4949,27080.7877
"17","NT","NI",17,"NI_NT17",2083.8923,0.227,0.844,347315.3782,4138.6667,15.869,234.8408,11.9794,27461.1433
"18","NT","NI",18,"NI_NT18",2732.2371,0.282,1.707,455372.8429,5421.2099,11.497,379.7298,7.9564,24350.7769
"19","NT","NI",19,"NI_NT19",3966.7263,0.2462,1.888,661121.0552,7886.3228,23.991,492.0083,15.7818,35772.2815
"20","NT","NI",20,"NI_NT20",3808.0194,0.2834,2.403,634669.8982,7575.6496,18.2638,548.147,13.0985,31304.188
"21","NT","NI",21,"NI_NT21",2256.7792,0.2615,1.212,376129.859,4488.7917,10.0188,295.7571,7.3072,24062.7171
"22","NT","NI",22,"NI_NT22",2965.2235,0.2734,1.741,494203.9124,5896.7496,10.9085,420.0752,7.8889,28808.7555
"23","NT","NI",23,"NI_NT23",1824.5726,0.2249,0.725,304095.4405,3634.8593,1.7169,206.2681,1.2801,29509.4256
"24","NT","NI",24,"NI_NT24",2121.7177,0.2307,0.887,353619.6199,4225.2988,3.8221,255.7152,2.6923,14806.0865
"25","NT","NI",25,"NI_NT25",3968.3391,0.2378,1.763,661389.8419,7906.8067,10.8566,497.7152,6.5292,26842.3148
"26","T","NI",1,"NI_T1",1088.0749,0.4382,1.641,181345.8104,2138.3635,12.5472,223.3416,9.4374,4454.8852
"27","T","NI",2,"NI_T2",1834.5633,0.3215,1.49,305760.5466,3660.4726,8.3724,337.6501,4.6737,4153
"28","T","NI",3,"NI_T3",1081.7297,0.4142,1.458,180288.2796,2123.671,38.4984,231.147,26.0892,2267.1308
"29","T","NI",4,"NI_T4",766.162,0.3224,0.625,127693.6713,1518.0473,7.1831,125.9983,5.892,2547.0284
"30","T","NI",5,"NI_T5",1757.7301,0.279,1.075,292955.0207,3508.6841,3.2944,266.6093,2.1108,10496.0232
"31","T","NI",6,"NI_T6",2674.1611,0.2552,1.367,445693.51,5339.0144,8.0526,375.5369,4.6958,9688
"32","T","NI",7,"NI_T7",2115.9191,0.2054,0.701,352653.1821,4221.9166,8.9629,231.1135,5.1366,12996
"33","T","NI",8,"NI_T8",1147.9296,0.444,1.777,191321.5923,2258.491,19.4442,251.0992,13.0068,1993.4275
"34","T","NI",9,"NI_T9",1428.5377,0.2979,0.995,238089.6141,2840.0343,6.7801,221.0667,5.0154,5504.3613
"35","T","NI",10,"NI_T10",1175.4557,0.3011,0.837,195909.2821,2329.8743,8.4974,174.7574,6.3459,6652.9636
"36","T","NI",11,"NI_T11",1036.2873,0.3936,1.261,172714.5473,2028.8447,24.5664,194.5689,16.6923,4869.4926
"37","T","NI",12,"NI_T12",813.5053,0.4268,1.164,135584.2136,1607.3654,8.5742,172.1355,6.0901,1994.9481
"38","T","NI",13,"NI_T13",3008.1671,0.2985,2.105,501361.184,5975.4029,23.3056,455.5218,15.6307,11027.3575
"39","T","NI",14,"NI_T14",915.2623,0.3835,1.057,152543.717,1809.6242,4.7784,174.2758,3.2923,2676.8038
"40","T","NI",15,"NI_T15",1837.3774,0.3337,1.607,306229.5678,3640.8235,13.1247,296.4153,8.7087,8418.598
"41","T","NI",16,"NI_T16",1201.543,0.4116,1.599,200257.1727,2375.8376,10.5161,244.6656,8.208,4070.4321
"42","T","NI",17,"NI_T17",810.924,0.3444,0.755,135154.0006,1602.7215,6.8777,126.4176,4.1861,4728.8082
"43","T","NI",18,"NI_T18",954.7692,0.3955,1.173,159128.2046,1881.838,10.3887,179.9161,7.7531,2945.2393
"44","T","NI",19,"NI_T19",1096.0052,0.4269,1.568,182667.5301,2154.9049,24.3501,226.0591,17.4669,3264.3685
"45","T","NI",20,"NI_T20",871.1567,0.4431,1.343,145192.7915,1717.1489,8.6203,187.201,5.6578,2341.232
"46","T","NI",21,"NI_T21",862.6008,0.5667,2.176,143766.803,1690.5055,12.8916,222.6499,8.9064,1824.0174
"47","T","NI",22,"NI_T22",2496.3273,0.2982,1.744,416054.5552,4948.285,16.7271,361.8855,13.6812,12467.9341
"48","T","NI",23,"NI_T23",1125.6331,0.3923,1.36,187605.5218,2223.0796,7.0772,208.4675,4.36,4168.4293
"49","T","NI",24,"NI_T24",1047.2724,0.399,1.309,174545.4048,2055.8867,19.8912,194.9499,13.0485,4043.439
"50","T","NI",25,"NI_T25",1512.3025,0.391,1.816,252050.4143,2991.847,16.675,295.4958,10.2455,3694.455
"51","NT","PC",1,"PC_NT1",3743.0511,0.3081,2.791,623841.8425,7446.1609,19.3491,599.483,12.5382,19287.7998
"52","NT","PC",2,"PC_NT2",2800.9595,0.3136,2.164,466826.5883,5568.9656,13.3341,448.8151,9.278,14300.0417
"53","NT","PC",3,"PC_NT3",2913.1168,0.3486,2.781,485519.4706,5774.1275,35.5966,509.6855,24.3401,12409.3251
"54","NT","PC",4,"PC_NT4",2322.9519,0.3179,1.843,387158.6577,4621.5053,10.5385,379.1629,7.2152,14184.7631
"55","NT","PC",5,"PC_NT5",2440.6605,0.3442,2.271,406776.7474,4844.0786,16.4491,430.6666,10.067,9856.0693
"56","NT","PC",6,"PC_NT6",3101.1082,0.3019,2.22,516851.3602,6168.6844,17.8568,490.5767,11.6061,11441.0074
"57","NT","PC",7,"PC_NT7",3095.7533,0.2642,1.697,515958.8775,6161.6515,3.9104,413.8306,2.617,20861.2664
"58","NT","PC",8,"PC_NT8",1843.1363,0.3803,2.094,307189.3843,3638.8449,27.6234,345.6605,17.9555,8485.6827
"59","NT","PC",9,"PC_NT9",2321.6962,0.3534,2.278,386949.3602,4615.9972,9.6869,424.8967,6.1671,11266.7375
"60","NT","PC",10,"PC_NT10",1528.9751,0.343,1.413,254829.1906,3014.7033,12.4059,255.366,9.7728,6159.8439
"61","NT","PC",11,"PC_NT11",1683.3758,0.3366,1.498,280562.6375,3337.2345,9.791,280.7876,7.9582,9666.8898
"62","NT","PC",12,"PC_NT12",3588.8986,0.3736,3.934,598149.7715,7121.0828,30.6238,683.6634,20.0147,13757.5661
"63","NT","PC",13,"PC_NT13",2342.8005,0.2698,1.34,390466.7428,4658.4419,8.4017,319.3352,5.1631,12506.571
"64","NT","PC",14,"PC_NT14",1456.0133,0.3417,1.335,242668.8871,2876.0579,20.1978,239.5417,12.3383,5928.1374
"65","NT","PC",15,"PC_NT15",1280.6365,0.2938,0.868,213439.4154,2536.1306,5.8948,178.6413,4.2169,7211.5791
"66","NT","PC",16,"PC_NT16",2358.2406,0.3067,1.742,393040.1015,4672.4727,27.4581,363.4927,17.4769,14840.2313
"67","NT","PC",17,"PC_NT17",2253.1471,0.2704,1.294,375524.512,4481.5636,3.4219,294.4715,2.38,16145.9282
"68","NT","PC",18,"PC_NT18",2543.1057,0.2662,1.416,423850.9502,5056.1492,11.6166,349.0104,7.582,13144.0355
"69","NT","PC",19,"PC_NT19",2358.0708,0.2995,1.661,393011.7918,4683.087,8.6536,343.5177,6.786,18402.8682
"70","NT","PC",20,"PC_NT20",821.0859,0.3159,0.644,136847.6428,1609.0952,31.5357,124.4499,22.8313,8195.0067
"71","NT","PC",21,"PC_NT21",4296.9994,0.331,3.697,716166.5657,8487.6479,76.8482,684.1601,51.9114,33325.1391
"72","NT","PC",22,"PC_NT22",893.6309,0.4584,1.475,148938.4754,1767.4569,5.8155,196.0284,3.9965,4538.5785
"73","NT","PC",23,"PC_NT23",1356.8993,0.3171,1.072,226149.8896,2690.5659,7.5907,212.2904,4.5033,9576.5455
"74","NT","PC",24,"PC_NT24",2489.6863,0.2881,1.623,414947.7112,4933.7116,30.4244,361.9808,18.8016,11944.7293
"75","NT","PC",25,"PC_NT25",2192.8059,0.2818,1.368,365467.6523,4356.1295,8.5103,305.3179,6.6927,19617.0537
"76","T","PC",1,"PC_T1",1590.9758,0.3159,1.247,265162.6345,3154.6926,14.7454,256.7346,9.8446,4117.3967
"77","T","PC",2,"PC_T2",1607.9981,0.2643,0.882,267999.6868,3188.6596,14.0908,206.4053,10.3806,9273.0116
"78","T","PC",3,"PC_T3",1684.8336,0.3434,1.56,280805.5973,3326.0904,21.8128,278.3028,13.5358,9519.0114
"79","T","PC",4,"PC_T4",1151.234,0.3086,0.861,191872.336,2280.5893,7.6727,171.7789,6.3641,6417.9819
"80","T","PC",5,"PC_T5",1894.276,0.2717,1.099,315712.6646,3765.8577,6.0854,258.7021,4.0783,11925.9923
"81","T","PC",6,"PC_T6",1786.8569,0.2558,0.918,297809.4869,3553.3518,5.141,229.4655,3.359,14221.2406
"82","T","PC",7,"PC_T7",3745.0966,0.2502,1.841,624182.762,7454.5036,17.5731,482.4104,11.1723,24636.4395
"83","T","PC",8,"PC_T8",2061.1205,0.3023,1.48,343520.0867,4088.8745,5.2224,302.4758,3.2328,12719.5671
"84","T","PC",9,"PC_T9",631.9176,0.4595,1.048,105319.6003,1243.445,15.7192,148.7548,10.8901,3605.3335
"85","T","PC",10,"PC_T10",1091.807,0.3934,1.327,181967.8356,2158.2056,5.6557,205.1463,4.0687,8981.1019
"86","T","PC",11,"PC_T11",1083.7193,0.3752,1.198,180619.8762,2139.5944,13.3264,202.9884,8.9014,8035.9146
"87","T","PC",12,"PC_T12",746.9728,0.337,0.666,124495.4627,1474.6444,4.8772,122.6448,3.2453,3379.0758
"88","T","PC",13,"PC_T13",2015.4122,0.2623,1.089,335902.0378,4007.4931,8.8407,276.2799,7.248,11356.2206
"89","T","PC",14,"PC_T14",2264.8289,0.26,1.203,377471.4755,4510.2324,5.762,311.3068,3.6423,18116.698
"90","T","PC",15,"PC_T15",1673.8617,0.2787,1.021,278976.9509,3325.9496,4.1725,235.3596,3.2336,13273.5553
"91","T","PC",16,"PC_T16",2922.5227,0.2336,1.252,487087.1112,5827.1011,3.5022,359.6509,2.0724,18513.7453
"92","T","PC",17,"PC_T17",2012.1272,0.2992,1.415,335354.527,3986.9866,20.455,303.4927,11.8391,12736.8043
"93","T","PC",18,"PC_T18",885.683,0.4289,1.28,147613.8321,1744.6777,13.2067,179.7955,8.2181,4578.6884
"94","T","PC",19,"PC_T19",3073.5414,0.3084,2.295,512256.9066,6118.0435,13.23,494.7053,8.9431,22989.7902
"95","T","PC",20,"PC_T20",4337.6916,0.2664,2.418,722948.599,8623.4715,25.8171,592.4652,19.2248,37769.3273
"96","T","PC",21,"PC_T21",2781.3881,0.3026,2,463564.6889,5507.4819,35.114,427.5914,22.7446,22648.7832
"97","T","PC",22,"PC_T22",2806.6289,0.3724,3.056,467771.4873,5547.356,36.7631,533.4074,21.5338,21092.0409
"98","T","PC",23,"PC_T23",3219.9856,0.2506,1.588,536664.2623,6412.4271,11.4723,404.4263,7.368,25861.6199
"99","T","PC",24,"PC_T24",3343.199,0.2414,1.53,557199.8305,6653.8137,12.174,413.3184,8.7052,32250.4878
"100","T","PC",25,"PC_T25",2034.0672,0.375,2.246,339011.1966,4028.3708,14.3115,379.7726,10.4573,13932.6323
